iteration,best_fitness
0,282.0
1,282.0
2,282.0
3,282.0
4,282.0
5,282.0
6,282.0
7,282.0
8,282.0
9,282.0
10,282.0
11,282.0
12,282.0
13,282.0
14,282.0
15,282.0
16,282.0
17,282.0
18,282.0
19,282.0
20,282.0
21,282.0
22,282.0
23,282.0
24,282.0
25,282.0
26,282.0
27,282.0
28,282.0
29,282.0
30,282.0
31,282.0
32,282.0
33,282.0
34,282.0
35,282.0
36,282.0
37,282.0
38,282.0
39,282.0
40,282.0
41,282.0
42,282.0
43,282.0
44,282.0
45,282.0
46,282.0
47,282.0
48,282.0
49,282.0
50,282.0
51,282.0
52,282.0
53,282.0
54,282.0
55,282.0
56,282.0
57,282.0
58,282.0
59,282.0
60,282.0
61,282.0
62,282.0
63,282.0
64,282.0
65,282.0
66,282.0
67,282.0
68,282.0
69,282.0
70,282.0
71,282.0
72,282.0
73,282.0
74,282.0
75,282.0
76,282.0
77,282.0
78,282.0
79,282.0
80,282.0
81,282.0
82,282.0
83,282.0
84,282.0
85,282.0
86,282.0
87,282.0
88,282.0
89,282.0
90,282.0
91,282.0
92,282.0
93,282.0
94,280.0
95,280.0
96,280.0
97,280.0
98,280.0
99,280.0
100,280.0
101,280.0
102,280.0
103,280.0
104,280.0
105,280.0
106,280.0
107,280.0
108,280.0
109,280.0
110,280.0
111,280.0
112,280.0
113,280.0
114,280.0
115,280.0
116,280.0
117,280.0
118,280.0
119,280.0
120,280.0
121,280.0
122,280.0
123,280.0
124,280.0
125,280.0
126,280.0
127,280.0
128,280.0
129,280.0
130,280.0
131,280.0
132,280.0
133,280.0
134,280.0
135,280.0
136,280.0
137,280.0
138,280.0
139,280.0
140,280.0
141,280.0
142,280.0
143,280.0
144,280.0
145,280.0
146,280.0
147,280.0
148,280.0
149,280.0
150,280.0
151,280.0
152,280.0
153,280.0
154,280.0
155,280.0
156,280.0
157,280.0
158,280.0
159,280.0
160,280.0
161,280.0
162,280.0
163,280.0
164,280.0
165,280.0
166,280.0
167,280.0
168,280.0
169,280.0
170,280.0
171,280.0
172,280.0
173,280.0
174,280.0
175,280.0
176,280.0
177,280.0
178,280.0
179,280.0
180,278.0
181,278.0
182,278.0
183,278.0
184,278.0
185,278.0
186,278.0
187,278.0
188,278.0
189,278.0
190,278.0
191,278.0
192,278.0
193,278.0
194,278.0
195,278.0
196,278.0
197,278.0
198,278.0
199,278.0
200,278.0
201,278.0
202,278.0
203,278.0
204,278.0
205,278.0
206,278.0
207,278.0
208,278.0
209,278.0
210,278.0
211,278.0
212,278.0
213,278.0
214,278.0
215,278.0
216,278.0
217,278.0
218,278.0
219,278.0
220,278.0
221,278.0
222,278.0
223,278.0
224,278.0
225,278.0
226,278.0
227,278.0
228,278.0
229,278.0
230,278.0
231,278.0
232,278.0
233,278.0
234,278.0
235,278.0
236,278.0
237,278.0
238,277.0
239,277.0
240,277.0
241,277.0
242,277.0
243,277.0
244,277.0
245,277.0
246,277.0
247,277.0
248,277.0
249,277.0
250,277.0
251,277.0
252,277.0
253,277.0
254,277.0
255,277.0
256,277.0
257,277.0
258,277.0
259,277.0
260,277.0
261,277.0
262,277.0
263,277.0
264,277.0
265,277.0
266,277.0
267,277.0
268,277.0
269,277.0
270,277.0
271,277.0
272,277.0
273,277.0
274,277.0
275,277.0
276,277.0
277,277.0
278,277.0
279,277.0
280,277.0
281,277.0
282,277.0
283,277.0
284,277.0
285,277.0
286,277.0
287,277.0
288,277.0
289,277.0
290,277.0
291,277.0
292,277.0
293,277.0
294,277.0
295,277.0
296,277.0
297,277.0
298,277.0
299,277.0
